category,path,ext,size_bytes
"baselines","dlinear_results/dlinear_samples_20260125_061202.npz",".npz",84980
"baselines","dlinear_vs_ultralsnt_comparison.txt",".txt",318
"baselines","dlinear_weights/dlinear_results.json",".json",639
"baselines","dm_results/dm_patchtst_20260128_054441.json",".json",615
"baselines","dm_results/dm_patchtst_20260209_174821.json",".json",618
"baselines","lightgbm_latency_report.txt",".txt",965
"baselines","lightgbm_latency_results.csv",".csv",607
"baselines","lightgbm_vs_others_comparison.txt",".txt",363
"baselines","logs/run_dlinear_fixed_20260125_022855.log",".log",2018
"baselines","logs/timemixer_run.log",".log",1763
"baselines","logs_background/lite_timemixer_eff_20260209_154415.log",".log",199
"baselines","logs_background/lite_timemixer_eff_20260209_154427.log",".log",199
"baselines","logs_background/lite_timemixer_eff_20260209_154823.log",".log",199
"baselines","logs_complete/battle_dlinear_20260125_231807.log",".log",30743
"baselines","logs_complete/battle_dlinear_20260125_233011.log",".log",1111
"baselines","logs_complete/check_mamba_20260125_233011.log",".log",52
"baselines","logs_complete/mamba_comparison_20260125_233011.log",".log",684
"baselines","logs_train1/lite_timemixer_eff_20260209_164858.log",".log",3834
"baselines","logs_train1/lite_timemixer_eff_20260209_182104.log",".log",3834
"baselines","mamba_results.json",".json",128
"baselines","timemixer_efficiency_report.txt",".txt",902
"baselines","timemixer_efficiency_results.csv",".csv",586
"baselines","timemixer_ultralsn_lite_comparison_report.md",".md",6527
"baselines","timemixer_vs_ultralsnt_optimized_comparison_report.md",".md",7739
"dispatch","DISPATCH_COMPARISON_REPORT.md",".md",1667
"dispatch","dispatch_comparison_results.json",".json",11527
"dispatch","dispatch_schedule.csv",".csv",2087
"dispatch","logs/compare_dispatch_metrics_20260125_022855.log",".log",4099
"efficiency","dlinear_latency_report.txt",".txt",980
"efficiency","dlinear_latency_results.csv",".csv",660
"efficiency","efficiency_benchmark_results_enhanced.csv",".csv",320
"efficiency","efficiency_summary_enhanced.txt",".txt",310
"efficiency","lightgbm_latency_report.txt",".txt",965
"efficiency","lightgbm_latency_results.csv",".csv",607
"efficiency","logs/test_efficiency_20260124_214127.log",".log",14330
"efficiency","logs/test_efficiency_20260125_022855.log",".log",14330
"efficiency","logs/test_efficiency_realdata_20260125_210529.log",".log",14880
"efficiency","logs_perfect_parallel/run_efficiency_benchmark_enhanced_20260125_170703.log",".log",1981
"efficiency","timemixer_efficiency_report.txt",".txt",902
"efficiency","timemixer_efficiency_results.csv",".csv",586
"efficiency","ultra_lsnt_lite_efficiency_report.txt",".txt",962
"efficiency","ultra_lsnt_lite_efficiency_results.csv",".csv",642
"efficiency","ultra_lsnt_lite_optimized_efficiency_report.txt",".txt",1419
"efficiency","ultra_lsnt_lite_optimized_efficiency_results.csv",".csv",783
"efficiency","ultra_lsnt_lite_optimized_results.csv",".csv",644
"interpretability_expert","air_quality_expert_activation.csv",".csv",2076
"interpretability_expert","expert_analysis_summary.txt",".txt",2445
"interpretability_expert","expert_analysis_summary_enhanced.txt",".txt",2445
"interpretability_expert","expert_physics_output.log",".log",11451
"interpretability_expert","expert_specialization_report.txt",".txt",1361
"interpretability_expert","expert_switching_analysis_report_standard.txt",".txt",1942
"interpretability_expert","logs/run_expert_physics_run_20260126_053021.log",".log",1283
"interpretability_expert","logs_expert/analyze_expert_switching_20260125_195152.log",".log",31291
"interpretability_expert","logs_expert/analyze_expert_switching_standard_20260125_201035.log",".log",2328
"interpretability_expert","logs_expert/analyze_expert_switching_standard_20260125_204158.log",".log",2328
"interpretability_expert","logs_expert/analyze_expert_switching_standard_20260125_205047.log",".log",2328
"interpretability_expert","logs_expert/expert_summary_20260125_195152.log",".log",1367
"interpretability_expert","logs_expert/expert_summary_20260125_201035.log",".log",1534
"interpretability_expert","logs_expert/expert_summary_20260125_204158.log",".log",2647
"interpretability_expert","logs_expert/expert_summary_20260125_205047.log",".log",2681
"interpretability_expert","logs_expert/plot_expert_heatmap_enhanced_20260125_195152.log",".log",28643
"interpretability_expert","logs_expert/plot_expert_heatmap_enhanced_20260125_201035.log",".log",28643
"interpretability_expert","logs_expert/plot_expert_heatmap_enhanced_20260125_204158.log",".log",28643
"interpretability_expert","logs_expert/plot_expert_heatmap_enhanced_20260125_205047.log",".log",56140
"interpretability_expert","logs_expert/run_expert_20260125_195152.log",".log",2674
"interpretability_expert","logs_expert/run_expert_20260125_201035.log",".log",3492
"interpretability_expert","logs_expert/run_expert_20260125_204158.log",".log",3842
"interpretability_expert","logs_expert/run_expert_20260125_205047.log",".log",3789
"interpretability_expert","logs_expert/run_expert_physics_20260125_195152.log",".log",2080
"interpretability_expert","logs_expert/run_expert_physics_20260125_201035.log",".log",2080
"interpretability_expert","logs_expert/run_expert_physics_20260125_204158.log",".log",2080
"interpretability_expert","logs_expert/run_expert_physics_20260125_205047.log",".log",11580
"interpretability_expert","wind_expert_activation.csv",".csv",2072
"interpretability_expert","wind_expert_activation_events.csv",".csv",333
"main_benchmark","checkpoints_ts/consolidated_experiment_results.json",".json",4489
"main_benchmark","checkpoints_ts/main/final_results.json",".json",632
"multi_domain","air_quality.csv",".csv",30371007
"multi_domain","air_quality_expert_activation.csv",".csv",2076
"multi_domain","air_quality_ready.csv",".csv",21007435
"multi_domain","checkpoints_ts/exp_air_quality/final_results.json",".json",644
"multi_domain","checkpoints_ts/exp_air_quality/history.json",".json",35566
"multi_domain","checkpoints_ts/exp_air_quality/model_config.json",".json",289
"multi_domain","checkpoints_ts/exp_air_quality/predictions.npz",".npz",16930708
"multi_domain","checkpoints_ts/exp_gefcom/final_results.json",".json",644
"multi_domain","checkpoints_ts/exp_gefcom/history.json",".json",5489
"multi_domain","checkpoints_ts/exp_gefcom/model_config.json",".json",289
"multi_domain","checkpoints_ts/exp_gefcom/predictions.npz",".npz",1074196
"multi_domain","checkpoints_ts/exp_wind_us/final_results.json",".json",668
"multi_domain","checkpoints_ts/exp_wind_us/history.json",".json",5594
"multi_domain","checkpoints_ts/exp_wind_us/model_config.json",".json",290
"multi_domain","gefcom_ready.csv",".csv",1027294
"multi_domain","logs_background/multi_domain_20260209_154415.log",".log",189
"multi_domain","logs_background/multi_domain_baselines_20260209_155651.log",".log",204
"multi_domain","logs_background/multi_domain_baselines_20260209_155716.log",".log",223
"multi_domain","logs_train1/multi_domain_20260209_160856.log",".log",821
"multi_domain","logs_train1/multi_domain_baselines_20260209_160857.log",".log",146
"multi_domain","multi_domain_output.log",".log",709
"multi_domain","plot_data_multi_domain.csv",".csv",97
"multi_domain","results/multi_domain_baselines_r2_20260209_162347.csv",".csv",618
"multi_domain","results/multi_domain_baselines_r2_20260209_162347.json",".json",1667
"multi_domain","results/multi_domain_baselines_r2_20260209_173300.csv",".csv",618
"multi_domain","results/multi_domain_baselines_r2_20260209_173300.json",".json",1667
"multi_domain","results/multi_domain_baselines_r2_20260210_014805.csv",".csv",873
"multi_domain","results/multi_domain_baselines_r2_20260210_014805.json",".json",2165
"multi_domain","results/multi_domain_baselines_r2_latest.csv",".csv",868
"multi_domain","table_multi_domain.csv",".csv",238
"multi_domain","wind_us.csv",".csv",10506524
"other","ALL_CODE_COMPLETED_EXPERIMENTS_DETAILED_SUMMARY.md",".md",27223
"other","ALL_EXPERIMENTS_AND_CODE_SUMMARY.md",".md",17247
"other","CODE_FIXES_SUMMARY.md",".md",6630
"other","COMPLETE_EXECUTION_SUMMARY.md",".md",12418
"other","DETAILED_EXPERIMENT_SUMMARY_ANALYSIS.md",".md",19786
"other","EXECUTION_REPORT.md",".md",6780
"other","EXPERIMENTAL_RESULTS_COMPREHENSIVE.md",".md",10043
"other","EXPERIMENT_DETAILED_DECOMPOSITION_SUMMARY.md",".md",30678
"other","EXPERIMENT_RESULTS_REPORT.md",".md",9688
"other","EXPERIMENT_RESULTS_SUMMARY.md",".md",6178
"other","FINAL_EXECUTION_REPORT.md",".md",4908
"other","FINAL_PLOT_GENERATION_REPORT_20260126_092052.txt",".txt",2025
"other","FINAL_PLOT_GENERATION_REPORT_20260126_095206.txt",".txt",2025
"other","FINAL_REPORT.md",".md",8274
"other","FIXES_CHECKLIST.md",".md",4969
"other","Load_history.csv",".csv",7325058
"other","QUICK_REFERENCE.md",".md",5649
"other","QUICK_START_GUIDE.md",".md",6455
"other","README_RESULTS.txt",".txt",9827
"other","REAL_VS_FICTIONAL_REPORT.md",".md",8072
"other","SCRIPT_EXECUTION_SUMMARY.md",".md",4881
"other","TECHNICAL_REPORT.md",".md",9742
"other","Ultra-LSNT_论文实验全面整理报告.md",".md",6073
"other","__encoding_test.txt",".txt",11
"other","actual_figures.txt",".txt",1562
"other","baseline_output.log",".log",4568
"other","baseline_results/LSTM_results_20260123_035209.json",".json",3455
"other","baseline_results/LSTM_results_20260125_053225.json",".json",3459
"other","baseline_results/LSTM_results_20260126_005959.json",".json",3458
"other","baseline_results/LSTM_samples_20260123_035209.npz",".npz",85611
"other","baseline_results/LSTM_samples_20260125_053225.npz",".npz",85550
"other","baseline_results/LSTM_samples_20260126_005959.npz",".npz",85591
"other","baseline_results/MLP_results_20260123_035255.json",".json",3458
"other","baseline_results/MLP_results_20260125_053300.json",".json",3463
"other","baseline_results/MLP_results_20260126_010031.json",".json",3466
"other","baseline_results/MLP_samples_20260123_035255.npz",".npz",85516
"other","baseline_results/MLP_samples_20260125_053300.npz",".npz",85594
"other","baseline_results/MLP_samples_20260126_010031.npz",".npz",85609
"other","baseline_results/Transformer_results_20260123_035445.json",".json",3457
"other","baseline_results/Transformer_results_20260125_053441.json",".json",3458
"other","baseline_results/Transformer_results_20260126_010213.json",".json",3453
"other","baseline_results/Transformer_samples_20260123_035445.npz",".npz",85401
"other","baseline_results/Transformer_samples_20260125_053441.npz",".npz",85545
"other","baseline_results/Transformer_samples_20260126_010213.npz",".npz",85476
"other","baseline_results/baseline_comparison_report.txt",".txt",552
"other","baseline_results/baseline_summary.json",".json",564
"other","baseline_results/classical_baselines_20260125_155327.csv",".csv",294
"other","baseline_results/classical_baselines_20260125_155327.json",".json",791
"other","baseline_results/classical_baselines_optimized.csv",".csv",294
"other","checkpoints_ts/full_sota_comparison.json",".json",1854
"other","checkpoints_ts/latest_sota_summary.json",".json",266
"other","checkpoints_ts/main/history.json",".json",28068
"other","checkpoints_ts/main/model_config.json",".json",289
"other","checkpoints_ts/main/predictions.npz",".npz",916
"other","checkpoints_ts/prob_predictions.npz",".npz",2396
"other","checkpoints_ts_enhanced/enhanced_v1/history.json",".json",12015
"other","checkpoints_ts_enhanced/enhanced_v1/model_config.json",".json",460
"other","checkpoints_ts_enhanced/enhanced_v1/train_config.json",".json",438
"other","checkpoints_ts_gpu/main/model_config.json",".json",459
"other","checkpoints_ts_stable/stable_v1/model_config.json",".json",461
"other","checkpoints_ts_stable/stable_v1/train_config.json",".json",433
"other","engineering_charts/chart_summary.txt",".txt",628
"other","enhanced_training.log",".log",155608
"other","experiment_data_completion_summary.md",".md",8821
"other","experiment_summary_report.txt",".txt",890
"other","gbdt_fixed_run.log",".log",10546
"other","gbdt_output.log",".log",30075
"other","gbdt_output_fixed.log",".log",24956
"other","gbdt_results_complete.json",".json",463
"other","hyperparameter_random_search_results_parallel.csv",".csv",5936
"other","image_list.txt",".txt",2846
"other","lgbm_model_dump.pkl",".pkl",28495752
"other","logs/analyze_r2_issue_error_20260125_150833.log",".log",0
"other","logs/analyze_r2_issue_error_20260125_150947.log",".log",0
"other","logs/analyze_r2_issue_error_20260125_151005.log",".log",0
"other","logs/analyze_r2_issue_error_20260125_151521.log",".log",1005
"other","logs/classical_baselines_20260125_022855.log",".log",0
"other","logs/classical_baselines_error_20260125_150833.log",".log",0
"other","logs/classical_baselines_error_20260125_150947.log",".log",0
"other","logs/classical_baselines_error_20260125_151005.log",".log",0
"other","logs/classical_baselines_error_20260125_151521.log",".log",1571
"other","logs/classical_baselines_realdata_20260125_210529.log",".log",0
"other","logs/latest_sota_20260126_183010.log",".log",3931
"other","logs/latest_sota_pid.txt",".txt",5
"other","logs/run_all_20260124_182852.log",".log",613
"other","logs/run_all_20260124_183654.log",".log",796
"other","logs/run_all_20260124_214127.log",".log",1352
"other","logs/run_all_20260125_022855.log",".log",8650
"other","logs/run_all_figures_20260125_022855.log",".log",80793
"other","logs/run_alldata_20260125_210529.log",".log",3464
"other","logs/run_error_20260125_150833.log",".log",1291
"other","logs/run_error_20260125_150947.log",".log",1291
"other","logs/run_error_20260125_151005.log",".log",1291
"other","logs/run_error_20260125_151521.log",".log",1112
"other","logs/run_fixed_20260126_052530.log",".log",1659
"other","logs/run_fixed_20260126_053021.log",".log",4929
"other","logs/run_fixit_20260126_044150.log",".log",1692
"other","logs/run_fixit_20260126_045407.log",".log",1692
"other","logs/run_gbdt_20260125_022855.log",".log",9019
"other","logs/run_gbdt_complete_fixed_run_20260126_053021.log",".log",306
"other","logs/run_gbdt_realdata_20260125_210529.log",".log",9030
"other","logs/run_gbdt_robustness_20260125_022855.log",".log",2135
"other","logs/run_gbdt_robustness_error_20260125_150833.log",".log",0
"other","logs/run_gbdt_robustness_error_20260125_150947.log",".log",0
"other","logs/run_gbdt_robustness_error_20260125_151005.log",".log",0
"other","logs/run_gbdt_robustness_error_20260125_151521.log",".log",24781
"other","logs/run_gbdt_robustness_realdata_20260125_210529.log",".log",24777
"other","logs/run_real_experiments_20260125_022855.log",".log",146890
"other","logs/run_real_experiments_realdata_20260125_210529.log",".log",126777
"other","logs/run_sota_20260124_183654.log",".log",368
"other","logs/run_sota_20260124_214127.log",".log",86
"other","logs/run_sota_20260125_022855.log",".log",86
"other","logs/run_sota_realdata_20260125_210529.log",".log",86
"other","logs/test_mape_20260124_214127.log",".log",337
"other","logs/test_mape_20260125_022855.log",".log",337
"other","logs/test_mape_realdata_20260125_210529.log",".log",337
"other","logs/test_robustness_fix_20260125_022855.log",".log",4168
"other","logs/validate_r2_correction_error_20260125_150833.log",".log",0
"other","logs/validate_r2_correction_error_20260125_150947.log",".log",0
"other","logs/validate_r2_correction_error_20260125_151005.log",".log",0
"other","logs/validate_r2_correction_error_20260125_151521.log",".log",2613
"other","logs/validate_r2_correction_realdata_20260125_210529.log",".log",2613
"other","logs_background/lite_base_eff_20260209_154415.log",".log",200
"other","logs_background/lite_base_eff_20260209_154427.log",".log",200
"other","logs_background/lite_base_eff_20260209_154823.log",".log",200
"other","logs_background/lite_opt_eff_20260209_154415.log",".log",198
"other","logs_background/lite_opt_eff_20260209_154427.log",".log",198
"other","logs_background/lite_opt_eff_20260209_154823.log",".log",198
"other","logs_background/lite_opt_perf_20260209_154415.log",".log",198
"other","logs_background/lite_opt_perf_20260209_154427.log",".log",198
"other","logs_background/lite_opt_perf_20260209_154823.log",".log",198
"other","logs_background/lite_summary_20260209_154415.log",".log",83
"other","logs_background/lite_summary_20260209_154427.log",".log",83
"other","logs_background/lite_summary_20260209_154823.log",".log",83
"other","logs_background/paper_digest_20260209_155651.log",".log",83
"other","logs_background/paper_digest_20260209_155716.log",".log",83
"other","logs_background/suite_20260209_154426.err.log",".log",0
"other","logs_background/suite_20260209_154426.out.log",".log",151
"other","logs_background/suite_20260209_154823.err.log",".log",0
"other","logs_background/suite_20260209_154823.out.log",".log",151
"other","logs_background/suite_summary_20260209_154415.md",".md",410
"other","logs_background/suite_summary_20260209_154427.md",".md",246
"other","logs_background/suite_summary_20260209_154823.md",".md",246
"other","logs_background/suite_summary_20260209_155651.md",".md",432
"other","logs_background/suite_summary_20260209_155716.md",".md",351
"other","logs_complete/plot_3d_scatter_20260125_233011.log",".log",19042
"other","logs_complete/run_complete_20260125_231242.log",".log",134
"other","logs_complete/run_complete_20260125_231807.log",".log",195
"other","logs_complete/run_complete_20260125_233011.log",".log",1358
"other","logs_complete/summary_report_20260125_233011.log",".log",800
"other","logs_perfect/run_perfect_20260125_164208.log",".log",564
"other","logs_perfect_parallel/final_parallel_report_20260125_170703.log",".log",1261
"other","logs_perfect_parallel/run_perfect_parallel_20260125_170703.log",".log",3749
"other","logs_train1/lite_base_eff_20260209_164912.log",".log",3401
"other","logs_train1/lite_base_eff_20260209_182118.log",".log",3401
"other","logs_train1/lite_opt_eff_20260209_164936.log",".log",10333
"other","logs_train1/lite_opt_eff_20260209_182145.log",".log",10019
"other","logs_train1/lite_opt_perf_20260209_165117.log",".log",1987
"other","logs_train1/lite_summary_20260209_165133.log",".log",223
"other","logs_train1/paper_digest_20260209_165133.log",".log",206
"other","logs_train1/paper_digest_20260210_004156.log",".log",206
"other","logs_train1/suite_summary_20260209_164857.md",".md",375
"other","logs_train1/suite_summary_20260209_165133.md",".md",347
"other","logs_train1/suite_summary_20260209_182103.md",".md",375
"other","logs_train1/suite_summary_20260210_004156.md",".md",347
"other","logs_train1/train1_20260209_160856.log",".log",509
"other","logs_train1/train1_20260209_161611.log",".log",9213
"other","logs_train1/train1_20260209_171021.log",".log",1065
"other","logs_train1/train1_20260209_171753.log",".log",1290
"other","logs_train1/train1_20260209_172850.log",".log",36680
"other","performance_metrics_3d.json",".json",827
"other","power_validation_report.txt",".txt",295
"other","preds_lgbm.npy",".npy",3477440
"other","processed_wind.csv",".csv",13901569
"other","python实验代码运行状态分析报告.md",".md",6256
"other","real_robustness.log",".log",11243
"other","results/SUMMARY.txt",".txt",7266
"other","results/metrics.json",".json",1481
"other","results/metrics_corrected.json",".json",1481
"other","results/paper_supplement_digest_20260209_165133.json",".json",2917
"other","results/paper_supplement_digest_20260209_165133.md",".md",1420
"other","results/paper_supplement_digest_20260210_004156.json",".json",2908
"other","results/paper_supplement_digest_20260210_004156.md",".md",1409
"other","results/report.txt",".txt",3413
"other","results/ultra_lsnt_lite_suite_comparison_20260209_165133.csv",".csv",258
"other","results/ultra_lsnt_lite_suite_comparison_20260209_165133.md",".md",482
"other","robustness_scores_ultra_lsnt.npy",".npy",168
"other","run_alldata_output.log",".log",100
"other","sota_output.log",".log",1662
"other","stable_training.log",".log",3901
"other","stable_training_full.log",".log",3686
"other","trues_lgbm.npy",".npy",1738784
"other","ultra_lsnt_lite_optimized_performance.csv",".csv",393
"other","ultra_lsnt_lite_optimized_performance_report.md",".md",9584
"other","ultra_lsnt_lite_optimized_quick_results.csv",".csv",370
"other","wind_final.csv",".csv",5238247
"other","wind_main.csv",".csv",7927751
"other","全国空气质量监测数据集/akesu.csv",".csv",146546
"other","全国空气质量监测数据集/ali.csv",".csv",123176
"other","全国空气质量监测数据集/ankang.csv",".csv",131092
"other","全国空气质量监测数据集/anshan.csv",".csv",152250
"other","全国空气质量监测数据集/anshun.csv",".csv",126360
"other","全国空气质量监测数据集/baicheng.csv",".csv",129511
"other","全国空气质量监测数据集/baise.csv",".csv",129828
"other","全国空气质量监测数据集/baishan.csv",".csv",131870
"other","全国空气质量监测数据集/baiyin.csv",".csv",135548
"other","全国空气质量监测数据集/baoding.csv",".csv",165466
"other","全国空气质量监测数据集/baoji.csv",".csv",156612
"other","全国空气质量监测数据集/baoshan.csv",".csv",124491
"other","全国空气质量监测数据集/baotou.csv",".csv",156875
"other","全国空气质量监测数据集/bayannaoer.csv",".csv",134375
"other","全国空气质量监测数据集/beihai.csv",".csv",144245
"other","全国空气质量监测数据集/beijing.csv",".csv",141679
"other","全国空气质量监测数据集/benxi.csv",".csv",149542
"other","全国空气质量监测数据集/bijie.csv",".csv",127492
"other","全国空气质量监测数据集/cangzhou.csv",".csv",159602
"other","全国空气质量监测数据集/changchun.csv",".csv",151940
"other","全国空气质量监测数据集/changdu.csv",".csv",123350
"other","全国空气质量监测数据集/changzhi.csv",".csv",158435
"other","全国空气质量监测数据集/changzhou.csv",".csv",153894
"other","全国空气质量监测数据集/chengde.csv",".csv",151759
"other","全国空气质量监测数据集/chengdu.csv",".csv",154546
"other","全国空气质量监测数据集/chifeng.csv",".csv",148097
"other","全国空气质量监测数据集/chongqing.csv",".csv",140219
"other","全国空气质量监测数据集/chongzuo.csv",".csv",127535
"other","全国空气质量监测数据集/dali.csv",".csv",123750
"other","全国空气质量监测数据集/dalian.csv",".csv",150812
"other","全国空气质量监测数据集/dandong.csv",".csv",149153
"other","全国空气质量监测数据集/daqing.csv",".csv",145449
"other","全国空气质量监测数据集/datong.csv",".csv",152706
"other","全国空气质量监测数据集/dehong.csv",".csv",127691
"other","全国空气质量监测数据集/deyang.csv",".csv",149911
"other","全国空气质量监测数据集/dingxi.csv",".csv",132017
"other","全国空气质量监测数据集/dongguang.csv",".csv",144233
"other","全国空气质量监测数据集/eerduosi.csv",".csv",150016
"other","全国空气质量监测数据集/fangchenggang.csv",".csv",126699
"other","全国空气质量监测数据集/foshan.csv",".csv",146254
"other","全国空气质量监测数据集/gannan.csv",".csv",129148
"other","全国空气质量监测数据集/guangyuan.csv",".csv",128698
"other","全国空气质量监测数据集/guangzhou.csv",".csv",146784
"other","全国空气质量监测数据集/guigang.csv",".csv",129986
"other","全国空气质量监测数据集/guilin.csv",".csv",146975
"other","全国空气质量监测数据集/guiyang.csv",".csv",146074
"other","全国空气质量监测数据集/guoluo.csv",".csv",0
"other","全国空气质量监测数据集/guyuan.csv",".csv",72
"other","全国空气质量监测数据集/haerbin.csv",".csv",155332
"other","全国空气质量监测数据集/haibei.csv",".csv",129868
"other","全国空气质量监测数据集/haidong.csv",".csv",132199
"other","全国空气质量监测数据集/haikou.csv",".csv",140141
"other","全国空气质量监测数据集/hainan.csv",".csv",129614
"other","全国空气质量监测数据集/haixi.csv",".csv",129468
"other","全国空气质量监测数据集/hami.csv",".csv",132580
"other","全国空气质量监测数据集/handan.csv",".csv",166342
"other","全国空气质量监测数据集/hangzhou.csv",".csv",158390
"other","全国空气质量监测数据集/hanzhong.csv",".csv",133971
"other","全国空气质量监测数据集/hechi.csv",".csv",127764
"other","全国空气质量监测数据集/hegang.csv",".csv",127113
"other","全国空气质量监测数据集/hengshui.csv",".csv",165384
"other","全国空气质量监测数据集/hengyang.csv",".csv",132038
"other","全国空气质量监测数据集/hetian.csv",".csv",155287
"other","全国空气质量监测数据集/heyuan.csv",".csv",144191
"other","全国空气质量监测数据集/hezhou.csv",".csv",128808
"other","全国空气质量监测数据集/huaian.csv",".csv",0
"other","全国空气质量监测数据集/huangnan.csv",".csv",128997
"other","全国空气质量监测数据集/huhehaote.csv",".csv",154903
"other","全国空气质量监测数据集/huizhou.csv",".csv",144118
"other","全国空气质量监测数据集/huludao.csv",".csv",155908
"other","全国空气质量监测数据集/huzhou.csv",".csv",149557
"other","全国空气质量监测数据集/jiamusi.csv",".csv",127915
"other","全国空气质量监测数据集/jiangmen.csv",".csv",147199
"other","全国空气质量监测数据集/jiaxing.csv",".csv",150721
"other","全国空气质量监测数据集/jiayuguan.csv",".csv",150880
"other","全国空气质量监测数据集/jilin.csv",".csv",150034
"other","全国空气质量监测数据集/jinchang.csv",".csv",149845
"other","全国空气质量监测数据集/jincheng.csv",".csv",140282
"other","全国空气质量监测数据集/jinhua.csv",".csv",146211
"other","全国空气质量监测数据集/jinzhong.csv",".csv",139092
"other","全国空气质量监测数据集/jinzhou.csv",".csv",154685
"other","全国空气质量监测数据集/jiuquan.csv",".csv",135544
"other","全国空气质量监测数据集/jixi.csv",".csv",129036
"other","全国空气质量监测数据集/kelamayi.csv",".csv",144858
"other","全国空气质量监测数据集/kunming.csv",".csv",145681
"other","全国空气质量监测数据集/laibin.csv",".csv",131256
"other","全国空气质量监测数据集/langfang.csv",".csv",158862
"other","全国空气质量监测数据集/lanzhou.csv",".csv",156097
"other","全国空气质量监测数据集/lasa.csv",".csv",143516
"other","全国空气质量监测数据集/leshan.csv",".csv",132777
"other","全国空气质量监测数据集/lianyungang.csv",".csv",0
"other","全国空气质量监测数据集/liaoyuan.csv",".csv",132954
"other","全国空气质量监测数据集/lijiang.csv",".csv",123823
"other","全国空气质量监测数据集/lincang.csv",".csv",126954
"other","全国空气质量监测数据集/linfen.csv",".csv",160536
"other","全国空气质量监测数据集/linxia.csv",".csv",133429
"other","全国空气质量监测数据集/linzhi.csv",".csv",118767
"other","全国空气质量监测数据集/lishui.csv",".csv",145241
"other","全国空气质量监测数据集/liupanshui.csv",".csv",128376
"other","全国空气质量监测数据集/liuzhou.csv",".csv",151147
"other","全国空气质量监测数据集/longnan.csv",".csv",128334
"other","全国空气质量监测数据集/luzhou.csv",".csv",150744
"other","全国空气质量监测数据集/lvliang.csv",".csv",136421
"other","全国空气质量监测数据集/meishan.csv",".csv",133306
"other","全国空气质量监测数据集/mianyang.csv",".csv",147952
"other","全国空气质量监测数据集/nanchong.csv",".csv",148900
"other","全国空气质量监测数据集/nanjing.csv",".csv",152912
"other","全国空气质量监测数据集/nanning.csv",".csv",147732
"other","全国空气质量监测数据集/nantong.csv",".csv",42209
"other","全国空气质量监测数据集/naqu.csv",".csv",83942
"other","全国空气质量监测数据集/ningbo.csv",".csv",148009
"other","全国空气质量监测数据集/nujiang.csv",".csv",125487
"other","全国空气质量监测数据集/panjin.csv",".csv",153390
"other","全国空气质量监测数据集/panzhihua.csv",".csv",145872
"other","全国空气质量监测数据集/pingliang.csv",".csv",131938
"other","全国空气质量监测数据集/qiandongnan.csv",".csv",126003
"other","全国空气质量监测数据集/qiannan.csv",".csv",123531
"other","全国空气质量监测数据集/qianxinan.csv",".csv",124435
"other","全国空气质量监测数据集/qingyang.csv",".csv",72
"other","全国空气质量监测数据集/qingyuan.csv",".csv",72
